SN:3K430000002098 BD:Feb 22 2019 VC:6c0e877 MD5:23c7c984f9ae360a656e7db26e850528
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,            Gnd,         Gnd_sd,         LTC0_v,      LTC0_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
26/04/2022 09:59:27.678, 26/04/2022 07:59:27.604, 2.01554e+0, 0.00000e+0, 4.35813e+2, 0.00000e+0, 8.17855e+3, 0.00000e+0, 2.03216e+0, 0.00000e+0, 4.39407e+2, 0.00000e+0, 5.00696e+2, 0.00000e+0, 1.63488e+1, 0.00000e+0, -4.34597e-1, 0.00000e+0, 2.87430e+0, 0.00000e+0, 8.45199e-2, 0.00000e+0, -8.25321e-1, 0.00000e+0, 5.00460e+0, 0.00000e+0, 9.00383e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:28.670, 26/04/2022 07:59:28.598, 2.01487e+0, 0.00000e+0, 4.33571e+2, 0.00000e+0, 8.05797e+3, 0.00000e+0, 2.03124e+0, 0.00000e+0, 4.37093e+2, 0.00000e+0, 5.00172e+2, 0.00000e+0, 1.63512e+1, 0.00000e+0, -4.35627e-1, 0.00000e+0, 2.87344e+0, 0.00000e+0, 8.45372e-2, 0.00000e+0, -8.25306e-1, 0.00000e+0, 5.00347e+0, 0.00000e+0, 8.99661e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:29.667, 26/04/2022 07:59:29.593, 2.01545e+0, 0.00000e+0, 4.33463e+2, 0.00000e+0, 8.11696e+3, 0.00000e+0, 2.03194e+0, 0.00000e+0, 4.37010e+2, 0.00000e+0, 4.99928e+2, 0.00000e+0, 1.63631e+1, 0.00000e+0, -4.34355e-1, 0.00000e+0, 2.87326e+0, 0.00000e+0, 8.44390e-2, 0.00000e+0, -8.25306e-1, 0.00000e+0, 5.00298e+0, 0.00000e+0, 8.99346e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:30.657, 26/04/2022 07:59:30.588, 2.01731e+0, 0.00000e+0, 4.30528e+2, 0.00000e+0, 8.15726e+3, 0.00000e+0, 2.03390e+0, 0.00000e+0, 4.34068e+2, 0.00000e+0, 4.99712e+2, 0.00000e+0, 1.63488e+1, 0.00000e+0, -4.35198e-1, 0.00000e+0, 2.87299e+0, 0.00000e+0, 8.45200e-2, 0.00000e+0, -8.25293e-1, 0.00000e+0, 5.00871e+0, 0.00000e+0, 9.03017e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:31.658, 26/04/2022 07:59:31.582, 2.01303e+0, 0.00000e+0, 4.34343e+2, 0.00000e+0, 8.12940e+3, 0.00000e+0, 2.02953e+0, 0.00000e+0, 4.37903e+2, 0.00000e+0, 5.01244e+2, 0.00000e+0, 1.63581e+1, 0.00000e+0, -4.43916e-1, 0.00000e+0, 2.87373e+0, 0.00000e+0, 8.45607e-2, 0.00000e+0, -8.25282e-1, 0.00000e+0, 5.00404e+0, 0.00000e+0, 9.00027e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:32.650, 26/04/2022 07:59:32.577, 2.01026e+0, 0.00000e+0, 4.23548e+2, 0.00000e+0, 7.92570e+3, 0.00000e+0, 2.02632e+0, 0.00000e+0, 4.26932e+2, 0.00000e+0, 5.01854e+2, 0.00000e+0, 1.63621e+1, 0.00000e+0, -4.37651e-1, 0.00000e+0, 2.87396e+0, 0.00000e+0, 8.44462e-2, 0.00000e+0, -8.25282e-1, 0.00000e+0, 5.00162e+0, 0.00000e+0, 8.98476e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:33.642, 26/04/2022 07:59:33.571, 2.00984e+0, 0.00000e+0, 4.24888e+2, 0.00000e+0, 7.89404e+3, 0.00000e+0, 2.02583e+0, 0.00000e+0, 4.28269e+2, 0.00000e+0, 5.02049e+2, 0.00000e+0, 1.63538e+1, 0.00000e+0, -4.43844e-1, 0.00000e+0, 2.87421e+0, 0.00000e+0, 8.44785e-2, 0.00000e+0, -8.25282e-1, 0.00000e+0, 5.00497e+0, 0.00000e+0, 9.00619e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:34.636, 26/04/2022 07:59:34.566, 2.01175e+0, 0.00000e+0, 4.26358e+2, 0.00000e+0, 8.01135e+3, 0.00000e+0, 2.02800e+0, 0.00000e+0, 4.29801e+2, 0.00000e+0, 5.01231e+2, 0.00000e+0, 1.63604e+1, 0.00000e+0, -4.38023e-1, 0.00000e+0, 2.87380e+0, 0.00000e+0, 8.44715e-2, 0.00000e+0, -8.25282e-1, 0.00000e+0, 5.00248e+0, 0.00000e+0, 8.99024e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:35.641, 26/04/2022 07:59:35.560, 2.01309e+0, 0.00000e+0, 4.28832e+2, 0.00000e+0, 7.93911e+3, 0.00000e+0, 2.02920e+0, 0.00000e+0, 4.32264e+2, 0.00000e+0, 5.00888e+2, 0.00000e+0, 1.63593e+1, 0.00000e+0, -4.33387e-1, 0.00000e+0, 2.87358e+0, 0.00000e+0, 8.44883e-2, 0.00000e+0, -8.25272e-1, 0.00000e+0, 5.00553e+0, 0.00000e+0, 9.00979e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:36.625, 26/04/2022 07:59:36.554, 2.01258e+0, 0.00000e+0, 4.27108e+2, 0.00000e+0, 8.00112e+3, 0.00000e+0, 2.02881e+0, 0.00000e+0, 4.30553e+2, 0.00000e+0, 5.00536e+2, 0.00000e+0, 1.63594e+1, 0.00000e+0, -4.40168e-1, 0.00000e+0, 2.87315e+0, 0.00000e+0, 8.44672e-2, 0.00000e+0, -8.25272e-1, 0.00000e+0, 5.00449e+0, 0.00000e+0, 9.00315e+1, 0.00000e+0, 3, -1, Disabled
