Model:	LI-7810
SN:	TG10-01640
Software Version:	2.3.8
Timestamp:	2023-09-26 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1695708000	113205909	2273	256	""	2023-09-26	08:00:00	nan	nan	nan	102.183	31.2508	102.168	39.7113	0	0	32.0102	-16000	0	15.9152	144
DATA	1695708001	113205909	2277	256	""	2023-09-26	08:00:01	nan	nan	nan	102.183	31.2682	102.168	39.7113	0	0	32.0274	-16000	0	15.9152	163
DATA	1695708002	112896919	2281	256	""	2023-09-26	08:00:02	nan	nan	nan	102.183	31.2856	102.167	39.7113	0	0	32.0447	-16000	0	15.9148	185
DATA	1695708003	112896919	2285	256	""	2023-09-26	08:00:03	nan	nan	nan	102.184	31.3035	102.169	39.7117	0	0	32.0618	-16000	0	15.9148	188
DATA	1695708004	112896919	2289	256	""	2023-09-26	08:00:04	nan	nan	nan	102.182	31.3208	102.168	39.7113	0	0	32.0793	-16000	0	15.914	137
DATA	1695708005	112896919	2293	256	""	2023-09-26	08:00:05	nan	nan	nan	102.183	31.338	102.169	39.7117	0	0	32.0963	-16000	0	15.9144	144
DATA	1695708006	112896919	2297	256	""	2023-09-26	08:00:06	nan	nan	nan	102.183	31.3554	102.168	39.7113	0	0	32.1137	-16000	0	15.9136	191
DATA	1695708007	112896919	2301	256	""	2023-09-26	08:00:07	nan	nan	nan	102.182	31.372	102.168	39.7113	0	0	32.1307	-16000	0	15.9136	124
DATA	1695708008	112896919	2305	256	""	2023-09-26	08:00:08	nan	nan	nan	102.183	31.3887	102.169	39.7113	0	0	32.1476	-16000	0	15.9136	201
DATA	1695708009	112896919	2309	256	""	2023-09-26	08:00:09	nan	nan	nan	102.183	31.406	102.168	39.7113	0	0	32.1648	-16000	0	15.9136	143
DATA	1695708010	112581968	2313	256	""	2023-09-26	08:00:10	nan	nan	nan	102.183	31.423	102.168	39.7113	0	0	32.182	-16000	0	15.9136	 60
DATA	1695708011	112581968	2317	256	""	2023-09-26	08:00:11	nan	nan	nan	102.182	31.4408	102.168	39.7113	0	0	32.1992	-16000	0	15.9136	178
DATA	1695708012	112581968	2321	256	""	2023-09-26	08:00:12	nan	nan	nan	102.183	31.4582	102.169	39.7113	0	0	32.2162	-16000	0	15.9136	170
DATA	1695708013	112581968	2325	256	""	2023-09-26	08:00:13	nan	nan	nan	102.183	31.4759	102.17	39.7113	0	0	32.2335	-16000	0	15.9132	124
DATA	1695708014	112581968	2329	256	""	2023-09-26	08:00:14	nan	nan	nan	102.184	31.4933	102.169	39.7113	0	0	32.2507	-16000	0	15.9132	182
DATA	1695708015	112581968	2333	256	""	2023-09-26	08:00:15	nan	nan	nan	102.183	31.5105	102.17	39.7113	0	0	32.2679	-16000	0	15.9132	124
